BBOL.r,BBOL.r,ID#,Player Name,Bat Pow,Bat Con,Run,Speed,Arm Str,Arm Acc,Eye,Height,Coord,Attn,Aggr,Stamina,Int,Heat,S.Ball,L.Hook,R.Hook,C.Screw,Zig-Zag,B.Freeze,Fireball,Spitball,C.Ball,Slo-mo,Elevator,Bats,Throws,Gender,B-Day Month,B-Day Day,Nickname,,Offense,Speed,Defense,Pitching,Pitching (Cal),Best Position,OF,3B,SS/2B,1B,C,,Heat,,,,,H,S.Ball,,,,,S,L.Hook,,,,,L,R.Hook,,,,,R,Description of the Player,Pitching Type,B,R,P,F
62,TAKEN,17.1,Amir (w/ Achmed),90,75,69,6,38,54,30,2,70,88,50,37,95,56,38,0,90,100,0,0,0,80,84,96,96,Right,Right,Boy,Sep,1,Sticks,,87,60,45,57,57,OF,53,35,37,53,45,,-32,3,11,138,51,40.4,-14,2,7,168,39.8,31.8,24,2,0,279,0.0,0.0,-66,2,33,23,91.8,73.4,"Great off. specialist, held back by poor defensive stats, best saved for later rounds",,10,7,4,5
63,TAKEN,216,Samuel Middleton,84,88,46,5,64,48,71,2,90,90,63,98,50,53,38,82,0,0,21,10,0,65,65,39,35,Left,Left,Boy,,,,,82,46,49,63,74,2B / 3B,39,49,52,45,60,,-29,2,15,100,64,64.2,-14,2,7,168,39.8,31.8,-58,2,29,43,84.6,67.7,24,2,0,279,0.0,0.0,"Extremely good hitter for average and power, so-so defender but can relief pitch",,10,5,7,9
64,TAKEN,183,Mandy Coolidge,88,64,52,5,64,54,3,2,50,7,9,83,72,100,58,66,82,0,38,76,78,57,38,12,0,Right,Right,Girl,,,,,81,46,34,73,81,P,29,37,37,21,58,,-76,3,26,22,92,73.7,-34,2,17,103,63.1,50.5,-42,2,21,110,60.6,48.5,-58,2,29,50,82.1,65.7,"Great pitcher with good batting, poor eye and attn., Heat is a strenuous best pitch",,9,6,10,4
65,TAKEN,31,Mo Vaughn,86,58,45,5,60,51,84,4,80,54,65,100,72,12,40,58,50,0,50,79,0,0,0,54,0,Left,Right,Boy,Dec,15,Hit Dog,,72,46,74,68,68,1B,49,53,42,94,45,,12,2,0,279,0,0.0,-16,1,16,108,61.3,61.3,-34,1,34,21,92.5,92.5,-26,1,26,75,73.1,73.1,"Good hitter, top tier 1B, 100 stamina lets him relief pitch for ages even if inaccurate",,8,5,7,8
65,TAKEN,232,Alicia Blakely,86,58,45,5,60,51,84,4,80,54,65,100,72,12,40,58,50,0,50,79,0,0,0,54,0,Left,Right,Girl,,,,,72,46,74,68,68,1B,49,53,42,94,45,,12,2,0,279,0,0.0,-16,1,16,108,61.3,61.3,-34,1,34,21,92.5,92.5,-26,1,26,75,73.1,73.1,"Good hitter, top tier 1B, 100 stamina lets him relief pitch for ages even if inaccurate",,8,5,7,8
67,TAKEN,207,Lance Lambert,94,61,48,5,14,20,37,2,100,22,29,54,36,6,100,58,66,81,0,58,0,0,0,43,0,Right,Right,Boy,,,,,84,46,13,70,70,P,24,6,4,17,24,,18,3,0,279,0,0.0,-76,2,38,15,94.6,75.7,-34,2,17,128,54.1,43.3,-42,2,21,109,60.9,48.7,"Top tier power, awful fielder at every position, a decent pitcher",,9,5,7,6
68,TAKEN,235,Barbara Jones,74,68,69,6,80,96,48,3,90,82,56,100,100,10,25,70,29,0,73,0,44,0,0,26,72,Right,Right,Girl,,,,,73,60,84,53,53,3B / SS,71,85,82,88,80,,14,2,0,279,0,0.0,-1,1,1,215,22.9,22.9,-46,1,46,6,97.8,97.8,-5,1,5,174,37.6,37.6,"Good hitter with great defensive stats, pretty decent relief pitcher",,8,7,5,10
68.1,TAKEN,29.1,Ernie (@ Steele Stadium),72,84,68,6,74,85,85,4,100,56,69,85,82,12,60,58,66,85,80,0,0,0,0,0,0,Right,Right,Boy,Apr,21,Funnybones,,74,60,89,60,60,1B / OF,90,81,74,97,67,,12,2,0,279,0,0.0,-36,2,18,99,64.5,51.6,-34,2,17,128,54.1,43.3,-42,2,21,109,60.9,48.7,"Very nice player but lacks the HR power for Steele Stadium, usually still worth it though",,9,7,7,10
69,TAKEN,8.1,Ashley (w/ Sidney),64,82,72,6,84,78,95,3,60,70,76,94,88,66,51,68,0,0,81,0,88,80,0,0,71,Right,Right,Girl,Feb,18,Little Smokey,,66,60,87,68,88,OF / 3B,90,87,83,82,80,,-42,2,21,51,82,81.7,-27,2,14,112,59.9,47.9,-44,2,22,102,63.4,50.8,24,2,0,279,0.0,0.0,"Almost top tier fielding, good relief pitching, decent offensively, can sometimes impress",,8,8,7,8
69,TAKEN,9.1,Sidney (w/ Ashley),64,82,72,6,84,78,95,3,60,70,76,94,88,66,51,68,0,0,81,0,88,80,0,0,71,Right,Right,Girl,Feb,18,Little Smokey,,66,60,87,68,88,OF / 3B,90,87,83,82,80,,-42,2,21,51,82,81.7,-27,2,14,112,59.9,47.9,-44,2,22,102,63.4,50.8,24,2,0,279,0.0,0.0,"Almost top tier fielding, good relief pitching, decent offensively, can sometimes impress",,8,8,7,8
71,TAKEN,47,Marty Cordova,69,46,63,6,94,76,36,3,30,74,56,45,76,32,45,89,85,78,86,81,0,0,91,70,100,Right,Right,Boy,Jul,10,Shade,,51,60,93,75,75,3B / SS,73,94,95,85,90,,-8,3,3,189,32,25.8,-21,2,11,142,49.1,39.3,-65,2,33,27,90.3,72.3,-61,2,31,44,84.2,67.4,"Top tier fielding and great pitching, so-so hitting, great for those wanting budget defense",,6,7,7,4
71,TAKEN,248,Kristen Sullivan,69,46,63,6,94,76,36,3,30,74,56,45,76,32,45,89,85,78,86,81,0,0,91,70,100,Right,Right,Girl,,,,,51,60,93,75,75,3B / SS,73,94,95,85,90,,-8,3,3,189,32,25.8,-21,2,11,142,49.1,39.3,-65,2,33,27,90.3,72.3,-61,2,31,44,84.2,67.4,"Top tier fielding and great pitching, so-so hitting, great for those wanting budget defense",,6,7,7,4
73,TAKEN,53,Jason Kendall,75,62,77,6,74,57,81,3,60,84,59,50,74,62,50,0,45,55,0,0,0,0,35,0,0,Right,Right,Boy,Jun,26,Patch,,73,60,80,49,49,OF / 3B,79,77,75,84,71,,-38,3,13,115,59,47.0,-26,2,13,123,55.9,44.7,24,2,0,279,0.0,0.0,-21,2,11,151,45.9,36.7,"Good offense and good defense, can pitch in a pinch, pretty ""average"" good player",,7,8,4,7
73,TAKEN,254,Pamela Kirkos,75,62,77,6,74,57,81,3,60,84,59,50,74,62,50,0,45,55,0,0,0,0,35,0,0,Right,Right,Girl,,,,,73,60,80,49,49,OF / 3B,79,77,75,84,71,,-38,3,13,115,59,47.0,-26,2,13,123,55.9,44.7,24,2,0,279,0.0,0.0,-21,2,11,151,45.9,36.7,"Good offense and good defense, can pitch in a pinch, pretty ""average"" good player",,7,8,4,7
75,TAKEN,102,Sonja Hagen,80,56,64,6,76,56,89,2,80,58,68,100,56,28,45,0,75,38,12,0,31,31,0,0,18,Right,Right,Girl,,,,,78,60,72,65,65,OF / SS,74,69,71,58,72,,-4,2,2,208,25,25.4,-21,1,21,83,70.3,70.3,24,1,0,279,0.0,0.0,-51,1,51,5,98.2,98.2,Great in all roles but lacks the height to keep up with the pros with similar stats,,8,7,6,9
75,TAKEN,152,Stan Olafson,80,56,64,6,76,56,89,2,80,58,68,100,56,28,45,0,75,38,12,0,31,0,0,0,18,Right,Right,Boy,,,,,78,60,72,65,65,OF / SS,74,69,71,58,72,,-4,2,2,208,25,25.4,-21,1,21,83,70.3,70.3,24,1,0,279,0.0,0.0,-51,1,51,5,98.2,98.2,Great in all roles but lacks the height to keep up with the pros with similar stats,,8,7,6,9
77,TAKEN,43,Jeff Bagwell,81,61,54,5,94,55,67,3,80,77,90,37,53,45,81,25,10,0,81,0,58,70,0,0,71,Right,Right,Boy,May,27,Bags,,67,46,82,48,48,C / 3B,52,83,81,76,86,,-21,3,7,163,42,33.3,-57,2,29,31,88.9,71.1,-1,2,1,221,20.8,16.6,14,2,0,279,0.0,0.0,"Decent hitting with very good defense, one of the top infielders in the game",,8,6,3,9
77,TAKEN,244,Hillary Vargas,81,61,54,5,94,55,67,3,80,77,90,37,53,45,81,25,10,0,81,0,58,70,0,0,71,Right,Right,Girl,,,,,67,46,82,48,48,C / 3B,52,83,81,76,86,,-21,3,7,163,42,33.3,-57,2,29,31,88.9,71.1,-1,2,1,221,20.8,16.6,14,2,0,279,0.0,0.0,"Decent hitting with very good defense, one of the top infielders in the game",,8,6,3,9
79,TAKEN,261,Yvonne Carter,82,45,63,6,62,46,51,3,60,71,65,59,58,74,48,100,20,18,0,38,76,0,78,57,21,Left,Left,Girl,,,,,74,60,69,69,69,1B,68,67,62,79,59,,-50,3,17,78,72,57.6,-24,2,12,128,54.1,43.3,-76,2,38,13,95.3,76.3,4,2,0,279,0.0,0.0,"Good hitter, mid tier defense but is a good relief pitcher, not bad at 1B",,8,7,7,6
79,TAKEN,60,Shawn Green,82,45,63,6,62,46,51,3,60,71,65,59,58,74,48,100,20,18,0,38,76,0,78,57,21,Left,Left,Boy,Nov,10,Squeaky,,74,60,69,69,69,1B,68,67,62,79,59,,-50,3,17,78,72,57.6,-24,2,12,128,54.1,43.3,-76,2,38,13,95.3,76.3,4,2,0,279,0.0,0.0,"Good hitter, mid tier defense but is a good relief pitcher, not bad at 1B",,8,7,7,6
79.1,TAKEN,1.1,Kimmy (@ Eckman Acres),72,82,68,6,74,75,85,2,80,56,74,71,82,55,35,44,34,58,53,59,0,0,0,86,84,Right,Right,Girl,Jun,22,Twinkie Toes,,74,60,68,38,38,OF / SS,70,66,68,53,70,,-31,3,11,138,51,40.4,-11,2,6,175,37.3,29.8,-20,2,10,176,36.9,29.5,-10,2,5,174,37.6,30.1,"Pretty well-rounded hitter and defender, always worth but Kimmy herself isn't good",,9,7,5,9
81,TAKEN,162,Alexis Weis,88,40,73,6,40,42,65,2,20,58,13,52,90,40,33,68,85,67,0,0,28,31,0,0,73,Right,Right,Girl,,,,,76,60,43,60,60,P / OF,59,32,34,46,42,,-16,3,6,166,41,32.4,-9,2,5,186,33.3,26.7,-44,2,22,102,63.4,50.8,-61,2,31,44,84.2,67.4,"Good power hitter without lacking speed, not likely to carry a team offensively",,8,8,7,2
82,TAKEN,173,Francesca Whitaker,79,59,67,6,56,56,73,2,80,99,45,66,89,68,31,40,20,86,81,0,91,70,0,21,10,Right,Right,Girl,,,,,78,60,59,39,39,OF,63,54,55,63,55,,-44,3,15,100,64,51.3,-7,2,4,190,31.9,25.5,-16,2,8,181,35.1,28.1,4,2,0,279,0.0,0.0,"Typically overperforms offensively, okay but not great at every defensive position",,8,7,5,8
83,TAKEN,263,Mr. Clanky,75,75,50,5,100,75,100,3,30,100,1,100,75,95,95,95,95,0,0,0,0,0,0,0,0,Right,Right,Boy,Aug,2,Automatic,,65,46,91,BAN,STILL BAN,C / SS,56,90,92,77,92,,-71,2,36,3,99,,,,,,,,,,,,,,,,,,,,"Very reliable catcher, decent line drive hitter, literally cannot get fatigued at all",,8,6,10,6
84,TAKEN,15,Lisa Crocket,67,16,78,6,72,19,68,4,50,47,88,78,43,11,0,100,72,46,19,23,90,50,0,82,0,Right,Right,Girl,Dec,4,Mad Dog,,48,60,85,70,70,1B / P,82,76,69,96,63,,13,3,0,279,0,0.0,24,2,0,279,0.0,0.0,-76,2,38,13,95.3,76.3,-48,2,24,93,66.7,53.3,"Great defender and good starting pitcher, very tall so hard to hit around",,5,8,6,5
85,TAKEN,73,Grace Tipton,18,77,96,8,24,1,29,2,70,17,7,85,82,83,71,81,32,25,0,18,96,0,0,0,0,Right,Right,Girl,,,,,70,88,46,86,86,P,65,27,26,46,34,,-59,2,30,9,97,96.8,-47,2,24,62,77.8,62.2,-57,2,29,43,84.6,67.7,-8,2,4,176,36.9,29.5,"Extremely fast, top tier pitcher, these both conflict but can still get on with grounders",,6,10,10,4
85,TAKEN,123,Earl Abbot,18,77,96,8,24,1,29,2,70,17,7,85,82,83,71,81,32,25,25,0,18,96,0,0,0,Right,Right,Boy,,,,,70,88,46,86,86,P,65,27,26,46,34,,-59,2,30,9,97,96.8,-47,2,24,62,77.8,62.2,-57,2,29,43,84.6,67.7,-8,2,4,176,36.9,29.5,"Extremely fast, top tier pitcher, these both conflict but can still get on with grounders",,6,10,10,4
85.3,TAKEN,23.4,Marky (w/ BJ & vs Sox),77,69,67,6,76,81,69,3,90,79,48,92,51,72,60,68,77,18,0,38,76,0,78,57,21,Left,Left,Boy,Sep,6,Cootie,,77,60,80,77,97,P / 3B,77,79,77,85,73,,-48,2,24,30,89,89.2,-36,2,18,99,64.5,51.6,-44,2,22,102,63.4,50.8,-53,2,27,67,76.0,60.8,"Great pitcher and fielder, pretty unlikely to face one of the Red or White Sox",,8,7,10,10
85.4,TAKEN,23.2,Marky (vs Sox),77,69,67,6,76,81,69,3,90,79,48,92,51,72,10,68,27,18,0,38,76,0,78,57,21,Left,Left,Boy,Sep,6,Cootie,,77,60,80,61,74,3B / SS,77,79,77,85,73,,-48,2,24,30,89,89.2,14,2,0,279,0.0,0.0,-44,2,22,102,63.4,50.8,-3,2,2,195,30.1,24.1,Pretty unlikely to face one of the Red or White Sox,,8,7,7,10
85.5,TAKEN,23.1,Marky (w/ Billy Jean),57,79,67,6,76,71,69,3,90,39,98,92,61,72,60,68,77,18,0,38,76,0,78,57,21,Left,Left,Boy,Sep,6,Cootie,,55,60,76,77,97,P,77,76,73,77,72,,-48,2,24,30,89,89.2,-36,2,18,99,64.5,51.6,-44,2,22,102,63.4,50.8,-53,2,27,67,76.0,60.8,"Great pitcher and fielder, pretty likely to get in a draft if you get Billy Jean first",,8,7,10,10
87,TAKEN,26,Tony Delvecchio,74,56,53,5,100,70,55,4,60,87,92,41,22,30,29,0,84,0,43,0,33,100,56,0,0,Right,Right,Boy,Jul,16,Vec,,53,46,93,44,44,3B / SS,54,95,92,96,87,,-6,3,2,208,25,20.4,-5,2,3,197,29.4,23.5,24,2,0,279,0.0,0.0,-60,2,30,48,82.8,66.2,"Top tier defender, okay hitter, arm is less good than it looks because he's so tall",,7,6,3,7
87.1,TAKEN,26.1,Tony (vs Angela),84,86,83,7,100,80,85,4,80,87,1,71,82,60,49,20,84,0,43,0,33,100,56,0,0,Right,Right,Boy,Jul,16,Vec,,89,75,99,61,61,any,99,99,99,98,92,,-36,3,12,126,55,43.9,-25,2,13,123,55.9,44.7,4,2,0,279,0.0,0.0,-60,2,30,48,82.8,66.2,Very good but only functional when playing vs Angela Delvecchio (rare),,9,9,7,10
88,TAKEN,32,Randy Johnson,61,26,44,5,100,30,55,5,20,45,27,100,74,99,14,99,72,95,100,1,100,84,95,25,70,Right,Left,Boy,Sep,10,The Big Unit,,28,46,85,99,99,P,58,92,89,99,84,,-75,2,38,2,99,99.3,10,1,0,279,0.0,0.0,-75,1,75,3,98.9,98.9,-48,1,48,7,97.5,97.5,"Best pitcher in the game by far, you never need a reliever, very much lacks in offense",,5,5,10,3
88,TAKEN,233,Amanda Hellerman,61,26,44,5,100,30,55,5,20,45,27,100,74,99,14,99,72,95,100,1,100,84,95,25,70,Right,Left,Girl,,,,,28,46,85,99,99,P,58,92,89,99,84,,-75,2,38,2,99,99.3,10,1,0,279,0.0,0.0,-75,1,75,3,98.9,98.9,-48,1,48,7,97.5,97.5,"Best pitcher in the game by far, you never need a reliever, very much lacks in offense",,5,5,10,3
90,TAKEN,37,Frank Thomas,81,30,37,4,58,54,20,4,60,50,47,100,98,56,74,48,100,49,0,63,61,0,0,100,49,Right,Right,Boy,May,27,The Big Hurt,,44,32,51,89,89,P,20,38,25,89,42,,-32,2,16,91,67,67.4,-50,1,50,6,97.8,97.8,-24,1,24,83,70.3,70.3,-76,1,76,3,98.9,98.9,"Top tier pitcher, unlikely you will need any relievers, decent power but still slow",,7,4,10,5
90,TAKEN,238,Christina Beattie,81,30,37,4,58,54,20,4,60,50,47,100,98,56,74,48,100,49,0,63,61,0,0,100,49,Right,Right,Girl,,,,,44,32,51,89,89,P,20,38,25,89,42,,-32,2,16,91,67,67.4,-50,1,50,6,97.8,97.8,-24,1,24,83,70.3,70.3,-76,1,76,3,98.9,98.9,"Top tier pitcher, unlikely you will need any relievers, decent power but still slow",,7,4,10,5
92,TAKEN,109,Veronica Lee,80,33,80,7,48,79,58,2,70,100,34,36,35,48,45,73,0,0,53,0,80,80,12,77,0,Right,Right,Girl,,,,,71,75,64,52,52,OF,76,56,56,69,53,,-24,3,8,156,44,35.3,-21,2,11,142,49.1,39.3,-49,2,25,77,72.4,57.9,24,2,0,279,0.0,0.0,"Fast while still having some power, not particularly consistent but can still make plays",,7,9,3,7
92,TAKEN,159,Wally Evans,80,33,80,7,48,79,58,2,70,100,34,36,35,48,45,73,0,0,53,0,80,12,12,77,0,Right,Right,Boy,,,,,71,75,64,52,52,OF,76,56,56,69,53,,-24,3,8,156,44,35.3,-21,2,11,142,49.1,39.3,-49,2,25,77,72.4,57.9,24,2,0,279,0.0,0.0,"Fast while still having some power, not particularly consistent but can still make plays",,7,9,3,7
94,TAKEN,42,Alex Gonzalez,69,10,85,7,76,54,14,3,80,35,81,75,91,23,0,74,6,100,0,0,0,43,64,86,66,Right,Right,Boy,Feb,15,Lil' Mitt,,49,75,82,24,24,3B / OF,85,83,78,83,73,,1,3,0,279,0,0.0,24,2,0,279,0.0,0.0,-50,2,25,77,72.4,57.9,18,2,0,279,0.0,0.0,Below average offensively (low contact and eye) but a solid infielder this late,,5,9,3,7
94,TAKEN,243,Gwen Sears,69,10,85,7,76,54,14,3,80,35,81,75,91,23,0,74,6,100,0,0,0,43,64,86,66,Right,Right,Girl,,,,,49,75,82,24,24,3B / OF,85,83,78,83,73,,1,3,0,279,0,0.0,24,2,0,279,0.0,0.0,-50,2,25,77,72.4,57.9,18,2,0,279,0.0,0.0,Below average offensively (low contact and eye) but a solid infielder this late,,5,9,3,7
96,TAKEN,59,Ivan Rodriguez,70,70,48,5,98,55,76,2,70,99,34,18,66,85,67,52,85,0,50,79,0,0,0,54,0,Right,Right,Boy,Nov,30,Pudge,,58,46,83,74,74,C / SS,48,78,85,53,85,,-61,3,21,51,82,65.4,-43,2,22,75,73.1,58.5,-28,2,14,136,51.3,41.0,-61,2,31,44,84.2,67.4,"Great catcher who can also pitch very well, solid line drive hitter",,7,5,7,8
96,TAKEN,260,Wendy Parsons,70,70,48,5,98,55,76,2,70,99,34,18,66,85,67,52,85,0,50,79,0,0,0,54,0,Right,Right,Girl,,,,,58,46,83,74,74,C / SS,48,78,85,53,85,,-61,3,21,51,82,65.4,-43,2,22,75,73.1,58.5,-28,2,14,136,51.3,41.0,-61,2,31,44,84.2,67.4,"Great catcher who can also pitch very well, solid line drive hitter",,7,5,7,8
98,TAKEN,87,Lena Ng,74,56,53,5,100,70,55,2,60,87,1,41,22,30,29,0,84,0,43,0,33,33,56,0,0,Right,Right,Girl,,,,,53,46,87,44,44,C,46,81,88,49,92,,-6,3,2,208,25,20.4,-5,2,3,197,29.4,23.5,24,2,0,279,0.0,0.0,-60,2,30,48,82.8,66.2,"Top tier catcher, okay hitter, runs away from the ball sometimes at corner IF",,7,6,3,7
98,TAKEN,137,Jim Kiley,74,56,53,5,100,70,55,2,60,87,1,41,22,30,29,0,84,0,43,0,33,56,56,0,0,Right,Right,Boy,,,,,53,46,87,44,44,C,46,81,88,49,92,,-6,3,2,208,25,20.4,-5,2,3,197,29.4,23.5,24,2,0,279,0.0,0.0,-60,2,30,48,82.8,66.2,"Top tier catcher, okay hitter, runs away from the ball sometimes at corner IF",,7,6,3,7
100,TAKEN,171,Ezra Travolta,72,32,56,5,100,95,69,2,70,30,4,91,55,12,0,38,100,76,0,0,39,0,85,80,0,Right,Right,Girl,,,,,50,46,83,42,50,C,47,76,80,34,92,,12,2,0,279,0,0.0,24,2,0,279,0.0,0.0,-14,2,7,191,31.5,25.2,-76,2,38,16,94.3,75.4,"Top tier catcher, okay hitter, lacks in attention which can ruin plays at home",,6,6,6,9
101,TAKEN,93,Molly May,87,45,23,4,90,76,1,2,100,63,25,56,28,0,10,25,70,15,0,0,0,0,78,65,59,Right,Right,Girl,,,,,68,32,66,29,29,C,18,59,61,27,77,,24,3,0,279,0,0.0,14,2,0,279,0.0,0.0,-1,2,1,221,20.8,16.6,-46,2,23,95,65.9,52.8,"Strong hitter with awful eyesight, decent defender, primarily corner IF or catcher",,8,3,2,9
101,TAKEN,143,Nicky Winston,87,45,23,4,90,76,1,2,100,63,25,56,28,0,10,25,70,15,0,0,0,78,78,65,59,Right,Right,Boy,,,,,68,32,66,29,29,C,18,59,61,27,77,,24,3,0,279,0,0.0,14,2,0,279,0.0,0.0,-1,2,1,221,20.8,16.6,-46,2,23,95,65.9,52.8,"Strong hitter with awful eyesight, decent defender, primarily corner IF or catcher",,8,3,2,9
103,TAKEN,77,Isabelle Marelli,86,24,42,5,88,68,31,2,30,25,61,52,82,92,26,74,38,79,0,65,0,73,0,0,0,Right,Right,Girl,,,,,67,46,62,61,61,C,37,63,65,30,81,,-68,3,23,34,88,70.3,-2,2,1,215,22.9,18.4,-50,2,25,77,72.4,57.9,-14,2,7,166,40.5,32.4,"Solid hitter, low contact is tough, can play most IF positions, good relief pitchers",,7,5,7,4
104,TAKEN,127,Franky Holly,86,24,42,5,88,68,31,2,30,25,41,52,82,92,26,74,38,79,79,0,65,0,73,0,0,Right,Right,Boy,,,,,67,46,62,61,61,C,37,63,65,30,81,,-68,3,23,34,88,70.3,-2,2,1,215,22.9,18.4,-50,2,25,77,72.4,57.9,-14,2,7,166,40.5,32.4,"Solid hitter, low contact is tough, can play most IF positions, good relief pitchers",,7,5,7,4
105,TAKEN,27,Jorge Garcia,82,58,56,5,78,50,1,4,60,78,31,69,27,15,60,58,0,0,59,0,0,85,0,57,41,Right,Right,Boy,Oct,7,Bonkers,,54,46,77,40,40,1B / 3B,39,72,65,95,64,,9,3,0,279,0,0.0,-36,2,18,99,64.5,51.6,-34,2,17,128,54.1,43.3,24,2,0,279,0.0,0.0,"Good hitter, awful eyesight, good corner infielder, can over or under perform easily",,8,6,4,5
106,TAKEN,46,Jeromy Burnitz,83,35,57,5,80,31,45,3,90,51,72,50,54,38,82,0,28,0,50,79,0,0,0,54,0,Left,Right,Boy,Apr,15,The Kid,,60,46,69,49,49,1B / 3B,44,70,65,73,73,,-14,3,5,177,37,29.2,-58,2,29,31,88.9,71.1,24,2,0,279,0.0,0.0,-4,2,2,195,30.1,24.1,"Decent hitter, low contact is a little awkward, a good corner infielder",,7,6,4,8
106,TAKEN,247,Jillian Paine,83,35,57,5,80,31,45,3,90,51,72,50,54,38,82,0,28,0,50,79,0,0,0,54,0,Left,Right,Girl,,,,,60,46,69,49,49,1B / 3B,44,70,65,73,73,,-14,3,5,177,37,29.2,-58,2,29,31,88.9,71.1,24,2,0,279,0.0,0.0,-4,2,2,195,30.1,24.1,"Decent hitter, low contact is a little awkward, a good corner infielder",,7,6,4,8
108,TAKEN,110,Whitney Singh,25,75,85,7,76,55,88,2,30,25,78,25,19,68,40,75,100,37,56,50,0,0,78,80,0,Left,Left,Girl,,,,,38,75,79,75,75,OF / P,94,71,73,57,73,,-44,3,15,100,64,51.3,-16,2,8,156,44.1,35.3,-51,2,26,59,78.9,63.1,-76,2,38,16,94.3,75.4,"Great outfielder, very nice pitching rotation player, lacks power to get on base",,6,9,7,5
108,TAKEN,160,Wing Kwan,25,75,85,7,76,55,88,2,30,25,78,25,19,68,40,75,100,37,56,50,0,78,78,80,0,Left,Left,Boy,,,,,38,75,79,75,75,OF / P,94,71,73,57,73,,-44,3,15,100,64,51.3,-16,2,8,156,44.1,35.3,-51,2,26,59,78.9,63.1,-76,2,38,16,94.3,75.4,"Great outfielder, very nice pitching rotation player, lacks power to get on base",,6,9,7,5
110,TAKEN,21,Dmitri Petrovich,78,57,66,6,52,28,43,3,40,35,41,12,100,39,67,0,26,32,62,0,46,56,66,0,87,Right,Right,Boy,Jun,9,Paste,,62,60,63,39,43,1B,61,53,48,75,50,,-15,4,4,182,35,17.4,-43,2,22,75,73.1,58.5,24,2,0,279,0.0,0.0,-2,2,1,208,25.4,20.4,"Good line drive hitter but is basically only usable at 1B, poor stamina",,8,7,1,3
111,TAKEN,44,Carlos Beltran,64,18,62,6,74,43,29,3,100,41,67,56,46,60,65,0,48,88,76,0,0,0,39,0,0,Both,Right,Boy,Apr,24,Buckles,,42,60,73,55,55,SS / 3B,68,75,70,78,70,,-36,3,12,126,55,43.9,-41,2,21,83,70.3,56.2,24,2,0,279,0.0,0.0,-24,2,12,141,49.5,39.6,"Lackluster hitter, still a very nice defender, okay relief pitcher",,5,7,5,9
111,TAKEN,245,Ingrid Dahlman,64,18,62,6,74,43,29,3,100,41,67,56,46,60,65,0,48,88,76,0,0,0,39,0,0,Both,Right,Girl,,,,,42,60,73,55,55,SS / 3B,68,75,70,78,70,,-36,3,12,126,55,43.9,-41,2,21,83,70.3,56.2,24,2,0,279,0.0,0.0,-24,2,12,141,49.5,39.6,"Lackluster hitter, still a very nice defender, okay relief pitcher",,5,7,5,9
113,TAKEN,76,Holly Franklin,67,16,78,6,72,19,68,2,50,47,68,78,43,11,0,100,72,46,19,23,90,0,82,82,0,Left,Left,Girl,,,,,45,60,65,70,70,P / SS,69,62,64,51,67,,13,3,0,279,0,0.0,24,2,0,279,0.0,0.0,-76,2,38,13,95.3,76.3,-48,2,24,93,66.7,53.3,"Good starting pitcher with solid defensive stats, lacking in offense but still has pop",,5,8,6,5
113,TAKEN,126,Fernando Diaz,67,16,78,6,72,19,68,2,50,47,68,78,43,11,0,100,72,46,46,19,23,90,0,82,0,Left,Left,Boy,,,,,45,60,65,70,70,P / SS,69,62,64,51,67,,13,3,0,279,0,0.0,24,2,0,279,0.0,0.0,-76,2,38,13,95.3,76.3,-48,2,24,93,66.7,53.3,"Good starting pitcher with solid defensive stats, lacking in offense but still has pop",,5,8,6,5
115,TAKEN,97,Petra Chekov,93,56,34,4,22,46,48,2,30,69,51,43,25,0,45,81,25,15,12,0,78,78,26,62,0,Right,Right,Girl,,,,,81,32,7,53,53,2B,8,4,4,11,26,,24,3,0,279,0,0.0,-21,2,11,142,49.1,39.3,-57,2,29,43,84.6,67.7,-1,2,1,208,25.4,20.4,"Top tier power but awful at every defensive position, good if lacking in power",,9,4,3,2
115,TAKEN,147,Rafael Hendrix,93,56,34,4,22,46,48,2,30,69,41,43,25,0,45,81,25,15,12,0,78,26,26,62,0,Right,Right,Boy,,,,,81,32,7,53,53,2B,8,4,4,11,26,,24,3,0,279,0,0.0,-21,2,11,142,49.1,39.3,-57,2,29,43,84.6,67.7,-1,2,1,208,25.4,20.4,"Top tier power but awful at every defensive position, good if lacking in power",,9,4,3,2
117,TAKEN,172,Fabienne Callahan,100,35,2,3,52,53,24,2,80,72,38,76,61,48,27,45,27,0,18,96,0,0,0,0,100,Right,Right,Girl,,,,,80,21,9,35,42,2B,3,12,14,8,44,,-24,3,8,156,44,35.3,-3,2,2,201,28.0,22.4,-21,2,11,165,40.9,32.7,-3,2,2,195,30.1,24.1,"Max power, min speed, basically a free walk, only good if desperate for power",,9,1,5,6
118,TAKEN,49,Mike Piazza,87,69,20,4,56,66,81,3,70,82,74,54,98,29,0,84,12,0,81,0,58,70,0,0,71,Right,Right,Boy,Sep,4,Supreme,,56,32,43,36,36,1B,25,31,26,71,50,,-5,3,2,208,25,20.4,24,2,0,279,0.0,0.0,-60,2,30,34,87.8,70.3,12,2,0,279,0.0,0.0,"Good power but lacks speed, not really good anywhere other than 1B",,9,3,3,8
